NAME                                                                   CREATED AT
user-dvtqv-view                                                        2024-01-25T15:07:31Z
cluster-owner                                                          2024-01-25T15:07:43Z
cattle-impersonation-u-mo773yttt4                                      2024-01-25T15:07:47Z
p-h56s5-namespaces-readonly                                            2024-01-25T15:07:45Z
u-b4qkhsnliz-view                                                      2024-01-25T15:07:50Z
p-h56s5-namespaces-edit                                                2024-01-25T15:07:46Z
p-2zl8b-namespaces-readonly                                            2024-01-25T15:07:45Z
p-2zl8b-namespaces-edit                                                2024-01-25T15:07:46Z
cattle-impersonation-u-b4qkhsnliz                                      2024-01-25T15:07:56Z
k8s-event-logger                                                       2024-01-25T15:03:03Z
system:metrics-server-aggregated-reader                                2024-01-25T15:03:18Z
system:metrics-server                                                  2024-01-25T15:03:18Z
vector                                                                 2024-01-25T15:03:06Z
postgres-operator                                                      2024-01-25T15:12:10Z
postgres-pod                                                           2024-01-25T15:12:10Z
postgres-operator-ui                                                   2024-01-25T15:12:10Z
argocd-server                                                          2024-01-25T15:02:38Z
argocd-application-controller                                          2024-01-25T15:02:38Z
